Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,65.06999969482422,417.2900085449219,79.05532836914062,277.6000061035156,708.9299926757812,739.1699829101562,83.33222961425781,148.22999572753906,27.770000457763672,65.47000122070312,419.25,79.28416037414807,280.3299865722656,715.1300048828125,743.4600219726562,83.64101262408087,148.41000366210938,27.770000457763672,64.72000122070312,414.1199951171875,79.05532836914062,277.239990234375,705.5499877929688,737.9600219726562,83.26249657384297,145.1699981689453,27.709999084472656,65.2300033569336,417.6400146484375,79.23441197593867,280.29998779296875,710.1400146484375,741.7899780273438,83.54140593699309,145.5500030517578,27.719999313354492,34830900,9360400,54466000,35408000,51792700,60410800,50796000,5588300,1851100
2026-05-18,64.97000122070312,418.42999267578125,79.13492584228516,275.9700012207031,705.8800048828125,738.6500244140625,83.23261260986328,149.2899932861328,27.700000762939453,65.76000213623047,420.92999267578125,79.29410705976333,279.0799865722656,712.0700073242188,741.4199829101562,83.59120275127269,154.0800018310547,27.729999542236328,64.37999725341797,416.05999755859375,79.03543663254378,273.94000244140625,698.8499755859375,733.3900146484375,82.99355504875795,144.9600067138672,27.670000076293945,65.66000366210938,419.82000732421875,79.22446385389036,278.739990234375,711.5399780273438,739.8300170898438,83.37206348713329,145.91000366210938,27.68000030517578,37739800,5628300,38596100,27243300,49834500,47843900,26166200,10817300,2992100
2026-05-19,64.26000213623047,411.5,78.94589233398438,273.0,701.530029296875,733.72998046875,82.69473266601562,152.9600067138672,27.790000915527344,64.8499984741211,414.4700012207031,79.04538154536856,275.0799865722656,706.489990234375,737.6500244140625,82.90391659475004,153.5,27.809999465942383,63.47999954223633,409.8800048828125,78.82650831653946,270.6300048828125,695.25,731.530029296875,82.44571214081147,150.22000122070312,27.760000228881836,63.619998931884766,412.45001220703125,79.0055919332471,273.80999755859375,699.8099975585938,734.780029296875,82.6349701718077,152.8800048828125,27.790000915527344,37009400,5419400,42904700,30276900,46827500,54255900,35346600,5514800,1914800
2026-05-20,65.45999908447266,417.3999938964844,79.45329284667969,279.8699951171875,713.1500244140625,741.25,83.58125305175781,144.27000427246094,27.729999542236328,65.55999755859375,417.989990234375,79.46324404443749,280.0899963378906,713.1500244140625,741.8699951171875,83.67089679341773,150.5399932861328,27.81999969482422,64.4000015258789,410.0799865722656,78.99563642683897,273.4100036621094,703.7899780273438,733.8900146484375,82.71465888486192,141.9600067138672,27.670000076293945,64.48999786376953,412.1400146484375,79.09512563279742,274.9100036621094,705.2899780273438,735.7100219726562,82.73457718317411,149.4499969482422,27.790000915527344,32484700,6005000,58906300,31562000,36779200,45768000,44498000,11573800,2509300
2026-05-21,66.02999877929688,416.989990234375,79.49309539794922,282.489990234375,714.510009765625,742.719970703125,83.89002990722656,142.5399932861328,27.729999542236328,66.3499984741211,418.4200134277344,79.58263341217676,283.67999267578125,717.1199951171875,744.8699951171875,83.92987410042612,150.25999450683594,27.829999923706055,65.05000305175781,411.95001220703125,79.24436857104108,277.1499938964844,706.77001953125,737.030029296875,83.00351750716895,140.22999572753906,27.709999084472656,65.2300033569336,413.1400146484375,79.34385778369627,278.6600036621094,708.989990234375,738.6400146484375,83.29238220823869,149.27000427246094,27.799999237060547,28726400,4679900,37584600,31680500,36415400,43332200,24887000,10203800,1832400
2026-05-22,65.87999725341797,413.82000732421875,79.50304412841797,285.1199951171875,717.5399780273438,745.6400146484375,84.34822845458984,140.9199981689453,27.770000457763672,66.38999938964844,415.67999267578125,79.61247694556336,286.6099853515625,722.1199951171875,748.9400024414062,84.34822845458984,143.77999877929688,27.81999969482422,65.73999786376953,412.0,79.43339333212705,283.6700134277344,715.9500122070312,744.47998046875,83.81034323465079,138.7100067138672,27.75,66.0,415.1700134277344,79.60253333798478,284.1000061035156,718.0700073242188,746.239990234375,84.2785030149405,141.42999267578125,27.760000228881836,30851000,5528400,22429400,23849300,33118600,41762000,27987700,7541300,2021800
2026-05-26,68.4000015258789,414.0,79.77166748046875,290.510009765625,730.280029296875,750.5900268554688,84.7665786743164,137.0,27.75,68.5,415.9800109863281,79.78161867880293,290.54998779296875,731.1699829101562,752.1300048828125,85.04548042495743,138.6999969482422,27.780000686645508,67.69000244140625,411.5,79.63238106595145,287.739990234375,724.1599731445312,748.3699951171875,84.56736530943074,135.94000244140625,27.729999542236328,67.72000122070312,415.1600036621094,79.73187027767234,288.3900146484375,725.9600219726562,750.010009765625,85.00563623207975,136.33999633789062,27.75,25457000,5098400,30406100,24506500,34254700,41123600,22531200,7574200,1929200
2026-05-27,68.38999938964844,408.489990234375,79.72191619873047,290.3699951171875,729.4500122070312,750.4600219726562,84.96580505371094,131.02999877929688,27.75,68.95999908447266,409.25,79.80151060144729,291.7200012207031,733.3200073242188,751.3800048828125,85.14510013333589,133.5800018310547,27.790000915527344,67.94000244140625,404.29998779296875,79.67217538993746,289.30999755859375,725.4400024414062,748.219970703125,84.81639122077293,129.63999938964844,27.709999084472656,68.76000213623047,404.3399963378906,79.76171340008888,291.1600036621094,732.9600219726562,750.8800048828125,84.91599790956386,131.38999938964844,27.719999313354492,31991500,6624600,22523800,24519900,35148700,42106300,23589600,8423300,2693300
2026-05-28,68.61000061035156,412.7699890136719,79.8214111328125,292.0299987792969,735.5999755859375,754.5999755859375,85.4040756225586,130.77999877929688,27.700000762939453,68.7699966430664,414.510009765625,79.86120074270143,292.739990234375,736.5999755859375,755.1500244140625,85.51364525958984,133.83999633789062,27.790000915527344,67.43000030517578,405.4100036621094,79.63237632841079,287.9800109863281,726.4099731445312,749.22998046875,84.93591582788024,127.7699966430664,27.690000534057617,67.6500015258789,406.4800109863281,79.67217352883956,289.6400146484375,729.72998046875,750.25,85.02556716704362,133.33999633789062,27.770000457763672,33058600,7184100,32001600,23710600,32840000,41562600,25417300,7533300,2942100
2026-05-29,68.5999984741211,417.1199951171875,79.9010009765625,290.42999267578125,738.3099975585938,756.47998046875,85.42400360107422,129.08999633789062,27.65999984741211,69.11000061035156,421.82000732421875,79.95074937662211,291.4100036621094,741.6300048828125,758.0800170898438,85.62321698261898,130.32000732421875,27.739999771118164,68.5,415.0799865722656,79.8015117669834,288.3299865722656,735.25,754.6900024414062,85.2148272706012,126.55000305175781,27.6299991607666,68.93000030517578,415.6199951171875,79.85126016704301,291.3800048828125,737.8400268554688,755.9000244140625,85.47380314670872,128.30999755859375,27.709999084472656,32143100,7705700,39142200,26952800,37541700,55075700,33118600,8226600,4610000
2026-06-01,70.08000183105469,411.260009765625,79.83999633789062,288.9800109863281,742.739990234375,758.5399780273438,85.47000122070312,135.5,27.760000228881836,70.51000213623047,412.6099853515625,79.87999725341797,290.6099853515625,745.6500244140625,760.280029296875,85.54000091552734,138.91000366210938,27.829999923706055,69.12999725341797,408.239990234375,79.63999938964844,286.2699890136719,735.989990234375,754.6900024414062,84.80000305175781,133.02000427246094,27.75,69.37999725341797,409.8599853515625,79.79000091552734,288.3699951171875,737.0399780273438,755.3599853515625,84.93000030517578,135.64999389648438,27.770000457763672,31731100,6158900,32671000,23826100,33890600,43634900,26322400,11053300,2057400
2026-06-02,70.80000305175781,411.95001220703125,79.9000015258789,291.6600036621094,746.1599731445312,759.5700073242188,85.6500015258789,137.27000427246094,27.760000228881836,70.86000061035156,414.3999938964844,79.9000015258789,291.8699951171875,746.4400024414062,760.4000244140625,85.81999969482422,137.6699981689453,27.809999465942383,70.05999755859375,411.1000061035156,79.79000091552734,288.3999938964844,739.22998046875,756.75,85.5,134.17999267578125,27.739999771118164,70.29000091552734,414.0799865722656,79.83999633789062,288.4599914550781,742.4000244140625,757.030029296875,85.80000305175781,135.07000732421875,27.739999771118164,16577400,3823900,25237500,18378800,30085200,31581900,20319000,3831200,2048200
2026-06-03,69.91999816894531,407.8699951171875,79.68000030517578,287.6700134277344,744.2100219726562,754.239990234375,85.30999755859375,140.86000061035156,27.860000610351562,70.47000122070312,409.3800048828125,79.77999877929688,290.010009765625,748.6500244140625,758.7999877929688,85.43000030517578,141.4199981689453,27.8799991607666,69.55999755859375,406.2300109863281,79.62999725341797,286.7799987792969,741.010009765625,753.5700073242188,85.0999984741211,138.38999938964844,27.829999923706055,70.41999816894531,408.3800048828125,79.75,289.989990234375,747.3099975585938,758.1500244140625,85.29000091552734,139.4600067138672,27.860000610351562,22147100,5038000,28203400,29167300,40270200,51402500,15372000,4766200,1725500
2026-06-04,69.0999984741211,411.2699890136719,79.83000183105469,292.010009765625,740.6099853515625,757.0900268554688,85.5,136.74000549316406,27.84000015258789,69.29000091552734,414.3699951171875,79.8499984741211,292.8800048828125,743.5,758.3099975585938,85.70999908447266,137.0500030517578,27.850000381469727,68.08000183105469,409.010009765625,79.75,286.6600036621094,732.6199951171875,751.469970703125,85.41999816894531,135.00999450683594,27.780000686645508,68.5199966430664,413.3699951171875,79.75,287.55999755859375,735.47998046875,752.0999755859375,85.61000061035156,136.6699981689453,27.790000915527344,21260300,4646500,22697900,24307800,40782600,49923000,15866500,4192000,880100
2026-06-05,64.58999633789062,396.239990234375,79.43000030517578,281.6499938964844,705.0599975585938,737.5499877929688,85.05999755859375,133.02000427246094,28.020000457763672,66.88999938964844,404.7200012207031,79.72000122070312,289.3999938964844,731.6900024414062,752.8200073242188,85.3499984741211,135.1999969482422,28.049999237060547,64.36000061035156,395.9200134277344,79.3499984741211,280.1499938964844,704.3200073242188,735.530029296875,84.91999816894531,132.24000549316406,27.899999618530273,66.7300033569336,404.3800048828125,79.69999694824219,289.1000061035156,730.0599975585938,752.3099975585938,84.98999786376953,135.13999938964844,27.920000076293945,56184500,11473900,46035600,35812800,99606600,93989400,26461200,4653800,2008900
2026-06-08,65.75,397.2699890136719,79.54000091552734,284.1099853515625,716.0700073242188,739.219970703125,84.62000274658203,135.14999389648438,28.030000686645508,66.37000274658203,398.9800109863281,79.6500015258789,286.8399963378906,723.030029296875,745.3400268554688,85.33000183105469,136.52999877929688,28.040000915527344,65.58999633789062,396.0299987792969,79.4800033569336,283.5799865722656,713.0700073242188,738.1900024414062,84.62000274658203,133.9499969482422,27.969999313354492,66.06999969482422,397.5199890136719,79.5999984741211,285.510009765625,717.8099975585938,743.3599853515625,85.2300033569336,134.9499969482422,27.989999771118164,29088400,8057300,25217800,27277400,47401500,49319100,22922700,4564300,2424900
2026-06-09,65.81999969482422,390.7799987792969,79.62000274658203,285.0199890136719,707.8300170898438,737.0499877929688,85.12000274658203,131.3000030517578,28.010000228881836,67.45999908447266,400.4800109863281,79.79000091552734,290.8699951171875,725.6599731445312,746.9000244140625,85.18000030517578,133.0399932861328,28.049999237060547,64.06999969482422,388.75,79.41999816894531,277.6199951171875,686.3699951171875,722.5900268554688,84.77999877929688,128.17999267578125,27.940000534057617,67.20999908447266,397.57000732421875,79.62000274658203,287.17999267578125,722.97998046875,743.6300048828125,84.97000122070312,132.00999450683594,27.959999084472656,42106700,9567300,34705500,41761300,91932200,87683500,22617700,9321500,2008200
2026-06-10,64.66000366210938,374.5799865722656,79.47000122070312,282.04998779296875,693.6900024414062,725.4299926757812,84.87999725341797,134.3000030517578,28.049999237060547,66.27999877929688,384.2099914550781,79.63999938964844,289.0,711.280029296875,738.3800048828125,85.30000305175781,136.61000061035156,28.049999237060547,64.58000183105469,374.54998779296875,79.44999694824219,281.760009765625,692.9299926757812,725.3300170898438,84.69999694824219,132.6300048828125,27.950000762939453,65.30999755859375,380.75,79.55999755859375,284.5899963378906,701.6599731445312,733.3900146484375,85.12000274658203,132.92999267578125,27.979999542236328,37541900,13956200,30345200,39285000,65334300,60341300,21258300,7519500,1741900
2026-06-11,67.5,386.32000732421875,79.94000244140625,290.4100036621094,717.1199951171875,737.760009765625,85.9800033569336,128.8300018310547,27.950000762939453,67.5999984741211,387.2099914550781,79.97000122070312,291.05999755859375,718.3699951171875,740.0,86.04000091552734,135.97999572753906,28.1299991607666,65.18000030517578,371.8800048828125,79.5199966430664,284.07000732421875,695.0,724.4099731445312,85.04000091552734,127.87000274658203,27.920000076293945,65.2699966430664,373.9599914550781,79.56999969482422,284.44000244140625,699.2899780273438,728.760009765625,85.16999816894531,134.27000427246094,28.079999923706055,41505700,12622500,55089500,41468800,71798900,86330500,35190500,12187300,2647800
2026-06-12,67.87999725341797,386.5400085449219,79.94000244140625,292.95001220703125,721.3400268554688,741.75,85.7699966430664,125.43000030517578,27.950000762939453,68.19999694824219,388.7699890136719,80.0,295.7200012207031,724.010009765625,744.4400024414062,85.83000183105469,129.77000427246094,27.989999771118164,67.08999633789062,383.3500061035156,79.80000305175781,290.30999755859375,711.280029296875,735.030029296875,85.41000366210938,125.30000305175781,27.940000534057617,67.52999877929688,385.7300109863281,79.94000244140625,291.6300048828125,717.6099853515625,740.7100219726562,85.63999938964844,127.02999877929688,27.959999084472656,39781500,7521700,29868800,34388500,51168400,56939800,23092600,8458300,2225500
2026-06-15,69.66999816894531,396.885498046875,80.1050033569336,295.2099914550781,743.4382934570312,755.1950073242188,85.73809814453125,120.11000061035156,27.924999237060547,69.87999725341797,401.0,80.16999816894531,297.8999938964844,744.7598876953125,756.6699829101562,86.11000061035156,120.41000366210938,27.93000030517578,69.375,396.5,80.05999755859375,294.7699890136719,737.3800048828125,751.760009765625,85.66999816894531,119.02999877929688,27.8700008392334,69.61000061035156,399.489990234375,80.13999938964844,296.55999755859375,738.0900268554688,751.8499755859375,85.95899963378906,119.83999633789062,27.889999389648438,20033892,7208424,21631077,16134407,29958583,24670550,10181657,4707011,1638888
